Sub Team,Repo (Format - Repo:label),Area 
Compiler,ballerina-lang:Team/CompilerFE,CompilerFE
,ballerina-lang:Team/CompilerFETools,CompilerFETools
,ballerina-lang:Team/LanguageServer,LangServer
,module-ballerinai-transaction,Transaction
,ballerina-spec,ballerina-spec
Runtime,ballerina-lang:Team/jBallerina,jBallerina
,nballerina,nballerina
,nballerina-cpp,nballerina-cpp
Dev Tools,ballerina-lang:Team/DevTools,DevTools
,ballerina-lang:Area/Bindgen,Bindgen
,ballerina-lang:Area/Central,Central
,ballerina-lang:Area/CLI,CLI
,ballerina-lang:Area/Debugger,Debugger
,ballerina-lang:Area/Diagram,Diagram
,ballerina-lang:Area/Docerina,Docerina
,ballerina-lang:Area/Installer,Installer
,ballerina-lang:Area/Packerina,Packerina
,ballerina-lang:Area/Testerina,Testerina
,ballerina-lang:Area/ProjectAPI,ProjectAPI
,ballerina-lang:Area/TOMLParser,TOMLParser
,ballerina-lang:Team/Code2Cloud,C2C
,ballerina-lang:Team/TestFramework,TestFramework
,ballerina-lang:Team/BuildPipeline,BuildPipeline
,ballerina-lang:Team/Tooling,Tooling
,ballerina-distribution:Team/DevTools,DevTools-Distribution
,ballerina-dev-tools,ballerina-dev-tools
,module-ballerina-docker,ballerina/docker
,module-ballerina-kubernetes,ballerina/kubernetes
,module-ballerina-c2c,ballerina/c2c
,module-ballerinax-aws.lambda,ballerinax/aws.lambda
,lsp4intellij,lsp4intellij
,ballerina-update-tool,ballerina-update-tool
,module-ballerinax-azure.functions,ballerinax/azure.functions
,plugin-vscode,plugin-vscode
,plugin-intellij,plugin-intellij
,ballerina-openapi,ballerina-openapi
,plugin-vscode-compiler-toolkit,plugin-vscode-compiler-toolkit
,ballerina-lang:Team/Observability,Observability
Observability,module-ballerinax-prometheus,ballerinax/prometheus
,module-ballerinax-jaeger,ballerinax/jaeger
,module-ballerinax-choreo,ballerinax/choreo
Other,ballerina-distribution,ballerina-distribution
,ballerina-dev-website,ballerina-dev-website
,playground,playground
StandardLibrary,ballerina-standard-library:module/auth,ballerina/auth
,ballerina-standard-library:module/cache,ballerina/cache
,ballerina-standard-library:module/config,ballerina/config
,ballerina-standard-library:module/crypto,ballerina/crypto
,ballerina-standard-library:module/email,ballerina/email
,ballerina-standard-library:module/file,ballerina/file
,ballerina-standard-library:module/filepath,ballerina/filepath
,ballerina-standard-library:module/ftp,ballerina/ftp
,ballerina-standard-library:module/graphql,ballerina/graphql
,ballerina-standard-library:module/grpc,ballerina/grpc
,ballerina-standard-library:module/http,ballerina/http
,ballerina-standard-library:module/io,ballerina/io
,ballerina-standard-library:module/java.arrays,ballerina/java.arrays
,ballerina-standard-library:module/java.jdbc,ballerina/java.jdbc
,ballerina-standard-library:module/jsonutils,ballerina/jsonutils
,ballerina-standard-library:module/jwt,ballerina/jwt
,ballerina-standard-library:module/kafka,ballerina/kafka
,ballerina-standard-library:module/ldap,ballerina/ldap
,ballerina-standard-library:module/log,ballerina/log
,ballerina-standard-library:module/math,ballerina/math
,ballerina-standard-library:module/mime,ballerina/mime
,ballerina-standard-library:module/mssql,ballerina/mssql
,ballerina-standard-library:module/mysql,ballerina/mysql
,ballerina-standard-library:module/nats,ballerina/nats
,ballerina-standard-library:module/oauth2,ballerina/oauth2
,ballerina-standard-library:module/oracledb,ballerina/oracledb
,ballerina-standard-library:module/os,ballerina/os
,ballerina-standard-library:module/postgresql,ballerina/postgresql
,ballerina-standard-library:module/rabbitmq,ballerina/rabbitmq
,ballerina-standard-library:module/random,ballerina/random
,ballerina-standard-library:module/reflect,ballerina/reflect
,ballerina-standard-library:module/regex,ballerina/regex
,ballerina-standard-library:module/runtime,ballerina/runtime
,ballerina-standard-library:module/serdes,ballerina/serdes
,ballerina-standard-library:module/socket,ballerina/socket
,ballerina-standard-library:module/sql,ballerina/sql
,ballerina-standard-library:module/stan,ballerina/stan
,ballerina-standard-library:module/stringutils,ballerina/stringutils
,ballerina-standard-library:module/task,ballerina/task
,ballerina-standard-library:module/tcp,ballerina/tcp
,ballerina-standard-library:module/time,ballerina/time
,ballerina-standard-library:module/transaction,ballerina/transaction
,ballerina-standard-library:module/udp,ballerina/udp
,ballerina-standard-library:module/url,ballerina/url
,ballerina-standard-library:module/uuid,ballerina/uuid
,ballerina-standard-library:module/websocket,ballerina/websocket
,ballerina-standard-library:module/websub,ballerina/websub
,ballerina-standard-library:module/websubhub,ballerina/websubhub
,ballerina-standard-library:module/xmldata,ballerina/xmldata
,ballerina-standard-library:module/xslt,ballerina/xslt
